config,batch_size,output_throughput
llm42,2,92.66
llm42,4,180.62
llm42,8,282.74
llm42,16,589.00
llm42,32,1091.67
llm42,64,1535.78
llm42,128,2160.69
llm42,256,2680.98
llm42,512,3044.38
global_det,2,53.43
global_det,4,99.73
global_det,8,179.75
global_det,16,347.71
global_det,32,659.34
global_det,64,1163.40
global_det,128,2194.11
global_det,256,2951.28
global_det,512,3350.72
non_det,2,131.82
non_det,4,240.19
non_det,8,429.12
non_det,16,793.56
non_det,32,1405.68
non_det,64,2189.09
non_det,128,3430.45
non_det,256,4470.33
non_det,512,5051.17
