,cdf,Number of Output Tokens
0,0.0,10.990159692286051
1,0.01,29.99409814075676
2,0.02,37.003063394656856
3,0.03,47.990390374500834
4,0.04,50.95795140178327
5,0.05,58.03236392716473
6,0.06,64.0075398344503
7,0.07,67.0206580966104
8,0.08,70.03540615115575
9,0.09,76.93808039734769
10,0.1,78.96470309310095
11,0.11,84.01547239000945
12,0.12,86.05623561054385
13,0.13,89.03245768467185
14,0.14,93.03734865738271
15,0.15,98.00328792216996
16,0.16,99.9830863317801
17,0.17,100.98793339163191
18,0.18,103.02802565952958
19,0.19,104.89932188646694
20,0.2,108.09398292749972
21,0.21,110.9412819235738
22,0.22,112.05626071695865
23,0.23,114.09153661923892
24,0.24,115.93168373917126
25,0.25,118.03734888197941
26,0.26,119.94113678795277
27,0.27,120.90451457652556
28,0.28,122.11962555631553
29,0.29,126.09065247316987
30,0.3,127.10342371406671
31,0.31,128.89538671575343
32,0.32,133.08674455668097
33,0.33,134.96306318989895
34,0.34,136.8658350332025
35,0.35000000000000003,137.9651534907103
36,0.36,139.91025019505676
37,0.37,141.88276977462596
38,0.38,143.88309884982797
39,0.39,145.91162949182663
40,0.4,147.96875929938696
41,0.41000000000000003,150.0548914768056
42,0.42,151.86639807994746
43,0.43,154.93430385909508
44,0.44,157.11863951343716
45,0.45,158.06418546692328
46,0.46,159.97238261315115
47,0.47000000000000003,161.90361607426667
48,0.48,165.83630770304308
49,0.49,167.8383321854717
50,0.5,170.88677687557998
51,0.51,172.94977210121453
52,0.52,175.0376724094938
53,0.53,176.091055785056
54,0.54,177.15077846187063
55,0.55,178.93117398094043
56,0.56,181.09128352475034
57,0.5700000000000001,182.18109776244162
58,0.58,186.97992229193082
59,0.59,189.99566364914423
60,0.6,193.0600449663177
61,0.61,195.00033132550766
62,0.62,196.17385074232715
63,0.63,198.1454313803173
64,0.64,200.13682673977718
65,0.65,200.93897754619834
66,0.66,204.17986018982324
67,0.67,207.8883754170533
68,0.68,210.81928212548445
69,0.6900000000000001,218.98457561057066
70,0.7000000000000001,219.86226842094075
71,0.71,222.9619886248871
72,0.72,227.0116433221731
73,0.73,231.13485182685199
74,0.74,233.92517946082506
75,0.75,241.0492641917914
76,0.76,242.9853931404834
77,0.77,244.9370732476433
78,0.78,247.89402534147717
79,0.79,249.8851320153791
80,0.8,253.9154520515322
81,0.81,258.010775873476
82,0.8200000000000001,263.22294104228376
83,0.8300000000000001,264.80702672134765
84,0.84,269.07801738374314
85,0.85,273.96527670428947
86,0.86,277.8277662050077
87,0.87,288.01178161007823
88,0.88,296.1900760347728
89,0.89,300.96723419670434
90,0.9,308.2778264562278
91,0.91,317.031589289365
92,0.92,329.31061777524167
93,0.93,342.75004360642635
94,0.9400000000000001,351.7784078930813
95,0.9500000000000001,369.0755886433958
96,0.96,381.83992705709807
97,0.97,399.01599201879577
98,0.98,407.89162073672736
99,0.99,434.8501656627444
100,1.0,495.2197326096817
